,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
727,Sabang,ID,scattered clouds,81.72,5.89,95.32,Hotel Citra
728,Kampong Thum,KH,overcast clouds,78.48,12.71,104.89,Sambor Village Hotel
730,Avarua,CK,few clouds,75.2,-21.21,-159.78,Paradise Inn
735,Touros,BR,scattered clouds,75.2,-5.2,-35.46,INN NEW HORIZON
736,Sulphur,US,broken clouds,87.01,30.24,-93.38,Fairfield Inn & Suites by Marriott Lake Charles Sulphur
737,Ormara,PK,scattered clouds,84.76,25.21,64.64,
740,Jieshi,CN,overcast clouds,83.34,22.81,115.83,Yuehai Hotel
744,Maragogi,BR,scattered clouds,75.24,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
749,Hornepayne,CA,scattered clouds,75.24,49.21,-84.77,Jackfish River Management
750,Nioro,GM,overcast clouds,82.0,13.35,-15.75,
756,Georgetown,MY,few clouds,80.6,5.41,100.34,Cititel Penang
767,Saquena,PE,overcast clouds,74.62,-4.67,-73.52,
769,Broome,US,broken clouds,75.99,42.25,-75.83,Chenango Valley State Park
771,Jalu,LY,clear sky,76.59,29.03,21.55,Jalu Hotel
773,Cairns,AU,scattered clouds,75.2,-16.92,145.77,Mantra Trilogy Cairns
774,Chengde,CN,broken clouds,75.36,40.97,117.94,Super 8 Hotel
775,Khartoum,SD,overcast clouds,95.0,15.55,32.53,Hotel China
779,Bandarbeyla,SO,overcast clouds,82.02,9.49,50.81,REER XOOSHLE GROUP
783,Cravo Norte,CO,overcast clouds,78.15,6.3,-70.2,Hotel El Puerto
785,Abu Samrah,SY,clear sky,71.22,35.3,37.18,
786,Kushima,JP,broken clouds,77.0,31.46,131.23,Hanaoka
789,Souillac,MU,few clouds,71.6,-20.52,57.52,Bils' Villa
792,Gunupur,IN,overcast clouds,80.08,19.08,83.82,Sree Satya Residency
794,Kisangani,CD,overcast clouds,71.31,0.52,25.2,Grand Ramela Hotel
802,Padang,ID,broken clouds,77.63,-0.95,100.35,Mercure Padang
803,Carlton,US,overcast clouds,71.6,45.29,-123.18,R. R. Thompson House Bed and Breakfast
